City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,baikunthpur,23.25,82.55,20.77,61,4,1.31,IN,1668135689
287,nouadhibou,20.931,-17.0347,18.99,94,75,3.09,MR,1668135445
288,hammerfest,70.6634,23.6821,0.25,74,100,5.66,NO,1668135690
289,panaba,21.2833,-88.2667,21.94,87,83,0.74,MX,1668135690
290,batagay,67.6333,134.6333,-25.11,98,98,0.99,RU,1668135691
291,indramayu,-6.3264,108.32,28.89,69,100,1.07,ID,1668135691
292,iqaluit,63.7506,-68.5145,-21.84,76,76,5.81,CA,1668135682
293,tiznit,29.5833,-9.5,15.59,58,0,0.43,MA,1668135692
294,cacapava do sul,-30.5122,-53.4914,14.59,82,100,2.2,BR,1668135694
295,kununurra,-15.7667,128.7333,34.99,46,75,4.63,AU,1668135694
296,cutervo,-6.379,-78.8157,9.7,88,86,1.43,PE,1668135695
297,hokitika,-42.7167,170.9667,16.56,63,100,2.79,NZ,1668135695
298,nabire,-3.3667,135.4833,30.2,65,96,0.19,ID,1668135696
299,fallon,39.4735,-118.7774,3.91,49,0,2.24,US,1668135696
300,san luis,-33.295,-66.3356,17.24,75,100,4.18,AR,1668135697
301,chilca,-12.5211,-76.7372,17.07,89,3,3.72,PE,1668135697
302,viedma,-40.8135,-62.9967,14.06,72,6,2.71,AR,1668135515
303,hellvik,59.9156,5.781,13.76,93,100,6.26,NO,1668135698
304,raga,8.4596,25.678,22.7,30,91,1.18,SS,1668135699
305,limulunga,-15.0969,23.1376,18.52,88,96,2.52,ZM,1668135699
306,granada,37.25,-3.25,9.61,84,2,2.38,ES,1668135700
307,newport,51.5877,-2.9984,15.38,80,100,11.12,GB,1668135643
308,esperance,-33.8667,121.9,16.05,73,83,9.22,AU,1668135700
309,broome,42.2506,-75.833,12.55,84,0,3.6,US,1668135701
310,comodoro rivadavia,-45.8667,-67.5,9.94,87,98,1.17,AR,1668135620
311,durban,-29.8579,31.0292,19.96,97,96,1.34,ZA,1668135702
312,birjand,32.8663,59.2211,10.94,49,92,1.56,IR,1668135702
313,bhawanipatna,19.9,83.1667,22.03,68,99,1.2,IN,1668135703
314,lac-megantic,45.5834,-70.8823,10.83,51,55,3.89,CA,1668135703
315,banda aceh,5.5577,95.3222,25.01,89,100,4.77,ID,1668135704
316,gouyave,12.1646,-61.7296,25.99,79,100,5.36,GD,1668135704
317,dali,25.7,100.1833,16.54,44,6,1.55,CN,1668135704
318,faya,18.3851,42.4509,13.72,74,1,0.22,SA,1668135705
319,tsiroanomandidy,-18.7667,46.0333,19.76,85,49,0.68,MG,1668135705
320,amparafaravola,-17.5833,48.2167,17.12,86,41,0.87,MG,1668135706
321,lakatoro,-16.0999,167.4164,28.74,74,39,3.46,VU,1668135706
322,kattivakkam,13.2167,80.3167,23.05,89,100,8.68,IN,1668135707
323,mana,5.6592,-53.7767,24.83,91,58,2.69,GF,1668135707
324,arman,59.7,150.1667,-13.81,76,2,5.03,RU,1668135708
325,olenegorsk,68.15,33.3,-1.46,94,99,1.49,RU,1668135708
326,jiexiu,37.0244,111.9125,13.55,80,100,0.24,CN,1668135709
327,sinnamary,5.3833,-52.95,25.04,89,14,2.73,GF,1668135709
328,weligama,5.9667,80.4167,26.53,80,100,3.59,LK,1668135710
329,farias brito,-6.9306,-39.5656,24.75,56,17,1.13,BR,1668135710
330,javanrud,34.7961,46.5172,8.01,71,86,0.21,IR,1668135712
331,amga,60.8953,131.9608,-6.7,93,100,3.0,RU,1668135712
332,rapid valley,44.0625,-103.1463,-7.53,69,75,5.66,US,1668135713
333,roma,43.2128,-75.4557,14.9,73,0,3.09,US,1668135713
334,port-gentil,-0.7193,8.7815,24.61,82,100,3.39,GA,1668135714
335,lavrentiya,65.5833,-171.0,-8.06,83,6,4.93,RU,1668135714
336,teguise,29.0605,-13.564,17.12,88,0,2.57,ES,1668135715
337,gat,31.61,34.7642,15.78,71,0,2.98,IL,1668135511
